StudentID,Name,Age,Marks,City
1001,Student_1,24,86,Islamabad
1002,Student_2,21,56,Karachi
1003,Student_3,22,70,Peshawar
1004,Student_4,24,58,Lahore
1005,Student_5,20,88,Karachi
1006,Student_6,22,67,Peshawar
1007,Student_7,22,53,Peshawar
1008,Student_8,24,74,Peshawar
1009,Student_9,19,63,Karachi
1010,Student_10,20,99,Karachi
1011,Student_11,24,58,Karachi
1012,Student_12,20,75,Islamabad
1013,Student_13,20,51,Karachi
1014,Student_14,22,69,Karachi
1015,Student_15,21,77,Karachi
1016,Student_16,20,96,Islamabad
1017,Student_17,23,56,Karachi
1018,Student_18,22,93,Peshawar
1019,Student_19,19,57,Karachi
1020,Student_20,21,96,Peshawar
1021,Student_21,23,84,Peshawar
1022,Student_22,23,63,Peshawar
1023,Student_23,19,66,Islamabad
1024,Student_24,21,85,Islamabad
1025,Student_25,22,99,Islamabad
1026,Student_26,18,89,Karachi
1027,Student_27,21,53,Peshawar
1028,Student_28,19,51,Islamabad
1029,Student_29,23,55,Islamabad
1030,Student_30,22,91,Karachi
1031,Student_31,21,53,Islamabad
1032,Student_32,18,78,Karachi
1033,Student_33,18,67,Lahore
1034,Student_34,20,75,Islamabad
1035,Student_35,20,93,Lahore
1036,Student_36,24,83,Karachi
1037,Student_37,19,59,Peshawar
1038,Student_38,21,85,Islamabad
1039,Student_39,21,63,Karachi
1040,Student_40,24,80,Peshawar
1041,Student_41,23,97,Peshawar
1042,Student_42,23,64,Lahore
1043,Student_43,24,57,Karachi
1044,Student_44,23,63,Peshawar
1045,Student_45,20,72,Islamabad
1046,Student_46,21,89,Islamabad
1047,Student_47,24,70,Lahore
1048,Student_48,21,65,Peshawar
1049,Student_49,18,94,Karachi
1050,Student_50,20,67,Islamabad
